id;x;y;height;environment
72;9.983753851537127;49.804600583714816;5.0;urban
88;9.910339923809383;49.79919466550347;5.0;urban
308;9.886096623274344;49.77015030675071;5.0;urban
316;9.958829874160214;49.78330590911908;5.0;urban
381;9.883125638765224;49.81553727361023;5.0;urban
440;9.926848375764811;49.823686455525475;5.0;urban
513;9.933885929780363;49.79605480733685;5.0;urban
550;9.9289302;49.77082315;5.0;urban
593;9.967369910370708;49.823552648669214;5.0;urban
405;9.969588126194537;49.722840047415886;5.0;urban
142;9.95176095;49.7520152;5.0;urban
