id;x;y;height;environment
7;9.895425280535907;49.781548600812386;5.0;urban
16;9.936446164827107;49.81352297006676;5.0;urban
38;9.963737108692683;49.721481497701596;5.0;urban
245;9.963064333764816;49.75828849897922;5.0;urban
484;9.958545800000001;49.79022815000001;5.0;urban
494;9.970344923634128;49.80822497889534;5.0;urban
523;9.937973011745449;49.7633267186825;5.0;urban
531;9.940810599294874;49.78711166655323;5.0;urban
554;9.987323395089524;49.802599102854735;5.0;urban
103;9.880734369305117;49.80887050462655;5.0;urban
